date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2014-03-11,2.6,2.62,2.62,2.59,24996.85,0.02,0.77,2.656,2.679,2.68,38319.04,52617.86,50512.36,0.38
2014-03-10,2.65,2.65,2.6,2.59,39748.39,-0.06,-2.26,2.674,2.677,2.682,43081.49,53933.98,51174.61,0.6
2014-03-07,2.69,2.71,2.66,2.65,33334.86,-0.03,-1.11,2.702,2.683,2.685,46519.94,53302.12,51467.75,0.51
2014-03-06,2.7,2.71,2.69,2.64,44152.21,-0.02,-0.74,2.714,2.686,2.684,53527.36,55120.79,50985.83,0.67
2014-03-05,2.71,2.74,2.71,2.69,49362.89,0.0,0.0,2.72,2.691,2.68,69600.46,57843.16,49639.92,0.75
2014-03-04,2.73,2.73,2.71,2.69,48809.11,-0.03,-1.09,2.702,2.692,2.675,66916.68,59038.99,48020.27,0.74
2014-03-03,2.72,2.75,2.74,2.7,56940.61,0.02,0.73,2.68,2.69,2.67,64786.47,58780.2,46748.48,0.86
2014-02-28,2.72,2.75,2.72,2.69,68371.97,0.0,0.0,2.664,2.687,2.664,60084.31,58479.38,44957.56,1.04
2014-02-27,2.63,2.79,2.72,2.61,124517.74,0.1,3.82,2.658,2.683,2.658,56714.22,55358.11,42846.17,1.89
2014-02-26,2.59,2.62,2.62,2.58,35943.96,0.02,0.77,2.662,2.674,2.653,46085.86,47963.07,38012.06,0.54
2014-02-25,2.67,2.68,2.6,2.59,38158.07,-0.06,-2.26,2.682,2.68,2.652,51161.3,48406.86,38703.56,0.58
2014-02-24,2.69,2.69,2.66,2.64,33429.79,-0.03,-1.11,2.7,2.687,2.65,52773.93,48415.24,38397.06,0.51
2014-02-21,2.74,2.74,2.69,2.67,51521.54,-0.05,-1.82,2.71,2.687,2.643,56874.46,49633.37,37623.97,0.78
2014-02-20,2.73,2.76,2.74,2.71,71375.95,0.02,0.73,2.708,2.681,2.636,54002.01,46850.87,36124.89,1.08
2014-02-19,2.68,2.75,2.72,2.68,61321.14,0.03,1.11,2.686,2.668,2.628,49840.28,41436.67,34230.07,0.93
2014-02-18,2.7,2.71,2.69,2.68,46221.25,-0.02,-0.74,2.678,2.658,2.62,45652.42,37001.56,32188.45,0.7
2014-02-17,2.68,2.71,2.71,2.67,53932.41,0.03,1.12,2.674,2.65,2.614,44056.55,34716.75,30889.63,0.82
2014-02-14,2.64,2.68,2.68,2.63,37159.28,0.05,1.9,2.664,2.64,2.606,42392.28,31435.73,29445.06,0.56
2014-02-13,2.68,2.68,2.63,2.63,50567.34,-0.05,-1.87,2.654,2.633,2.598,39699.73,30334.23,29801.08,0.77
2014-02-12,2.67,2.69,2.68,2.65,40381.83,0.01,0.38,2.65,2.631,2.594,33033.06,28061.06,29055.06,0.61
2014-02-11,2.66,2.68,2.67,2.64,38241.9,0.01,0.38,2.638,2.624,2.592,28350.69,29000.26,28637.33,0.58
2014-02-10,2.62,2.67,2.66,2.62,45611.05,0.03,1.14,2.626,2.612,2.591,25376.96,28378.89,27709.53,0.69
2014-02-07,2.61,2.63,2.63,2.57,23696.51,0.02,0.77,2.616,2.599,2.592,20479.18,25614.58,27704.0,0.36
2014-01-30,2.6,2.63,2.61,2.6,17234.01,-0.01,-0.38,2.612,2.59,2.597,20968.74,25398.92,27975.01,0.26
2014-01-29,2.61,2.62,2.62,2.6,16969.98,0.01,0.38,2.612,2.587,2.603,23089.05,27023.47,28335.96,0.26
2014-01-28,2.62,2.63,2.61,2.59,23373.24,0.0,0.0,2.61,2.581,2.609,29649.83,27375.35,29050.5,0.35
2014-01-27,2.61,2.64,2.61,2.6,21122.16,0.0,0.0,2.598,2.578,2.615,31380.81,27062.51,30513.46,0.32
2014-01-24,2.6,2.64,2.61,2.59,26144.31,0.0,0.0,2.582,2.571,2.619,30749.97,27454.38,31349.47,0.4
2014-01-23,2.61,2.62,2.61,2.6,27835.56,0.0,0.0,2.568,2.562,2.622,29829.09,29267.92,32229.72,0.42
2014-01-22,2.56,2.62,2.61,2.56,49773.9,0.06,2.35,2.562,2.557,2.629,30957.88,30049.06,32281.54,0.75
2014-01-21,2.52,2.57,2.55,2.52,32028.13,0.02,0.79,2.552,2.559,2.635,25100.86,28274.39,30845.79,0.49
2014-01-20,2.54,2.55,2.53,2.52,17967.96,-0.01,-0.39,2.558,2.57,2.645,22744.2,27040.18,30512.88,0.27
2014-01-17,2.58,2.59,2.54,2.54,21539.91,-0.04,-1.55,2.56,2.584,2.655,24158.8,29793.42,31365.66,0.33
2014-01-16,2.57,2.61,2.58,2.55,33479.52,0.02,0.78,2.556,2.604,2.668,28706.75,30551.11,31941.23,0.51
2014-01-15,2.58,2.58,2.56,2.54,20488.79,-0.02,-0.78,2.552,2.619,2.68,29140.24,29648.46,32446.44,0.31
2014-01-14,2.54,2.59,2.58,2.52,20244.84,0.04,1.57,2.566,2.636,2.691,31447.92,30725.65,33088.04,0.31
2014-01-13,2.52,2.55,2.54,2.52,25040.92,0.02,0.79,2.582,2.651,2.702,31336.15,33964.4,35654.92,0.38
2014-01-10,2.55,2.56,2.52,2.5,44279.67,-0.04,-1.56,2.608,2.667,2.718,35428.05,35244.55,38175.76,0.67
2014-01-09,2.63,2.63,2.56,2.56,35647.0,-0.07,-2.66,2.652,2.682,2.733,32395.47,35191.52,37689.91,0.54
2014-01-08,2.67,2.67,2.63,2.62,32027.15,-0.03,-1.13,2.686,2.701,2.746,30156.67,34514.02,39765.65,0.49
2014-01-07,2.65,2.68,2.66,2.65,19686.0,-0.01,-0.38,2.706,2.711,2.756,30003.39,33417.18,40478.09,0.3
